rank,name,team,position
1,Malik Nabers,NYG,WR
2,Alec Pierce,IND,WR
3,Tucker Kraft,GB,TE
4,Patrick Mahomes,KC,QB
5,George Kittle,SF,TE
6,Zach Charbonnet,SEA,RB
7,Tank Dell,HOU,WR
